impression_id,session_id,user_id,video_id,creator_id,shown_at,feed_rank,source_bucket,score_category_match,score_creator_match,score_satiation_penalty,score_total,mission_ids,creator_display_name
1,1,4,3098,115,2025-08-01T19:45:47Z,1,known,0.12207959033686677,0,0,-0.06731493294770326,,Mason media
2,1,4,2313,94,2025-08-01T19:45:59Z,2,preferred_new,0.6157025969991416,0,0.007999999999999998,0.33825113249388655,,Sophia Miller
3,1,4,3632,101,2025-08-01T19:46:23Z,3,preferred_new,0.4280305483813827,0,0.044,0.3207976342256766,,Emma daily
4,1,4,3098,115,2025-08-01T19:46:55Z,4,known,0.12207959033686677,0.013350682715828243,0.09600000000000002,-0.13810712572558057,,Mason media
5,1,4,3992,205,2025-08-01T19:46:59Z,5,preferred_new,0.4280305483813827,0,0.08600000000000002,0.22053096755900986,,Ethan fit
6,1,4,3901,191,2025-08-01T19:47:35Z,6,preferred_new,0.30111619689921965,0,0.14400000000000002,0.0027477502067149995,,Amelia hub
7,1,4,3098,115,2025-08-01T19:47:38Z,7,known,0.12207959033686677,0.015525260868249013,0.134,-0.16752856555699122,,Mason media
8,1,4,3449,98,2025-08-01T19:47:40Z,8,preferred_new,0.8076377821911571,0,0.12400000000000001,0.37020900286869657,,Elijah live
9,2,7,429,93,2025-08-01T10:12:52Z,1,explore,0.1620091287404425,0,0,0.1830837114590654,,Elijah studio
10,3,7,3632,101,2025-08-01T17:07:56Z,1,known,-0.3144473879602584,0,0.007999999999999998,-0.31301302439639017,,Emma daily
11,3,7,3736,109,2025-08-01T17:08:01Z,2,preferred_new,0.5773306504594087,0,0,0.4308204783541712,,Ethan Young
12,3,7,265,8,2025-08-01T17:08:09Z,3,explore,-0.5774501633347234,0,0.004,-0.8340981617231258,,Mia hub
13,4,11,3631,120,2025-08-01T13:15:11Z,1,known,-0.2070382275806031,0,0,-0.14568595903850312,,Charlotte fit
14,4,11,911,5,2025-08-01T13:15:47Z,2,preferred_new,1.259076593506938,0,0.060000000000000005,0.6703997857795096,,Evelyn official
15,4,11,799,99,2025-08-01T13:15:54Z,3,preferred_new,1.010872149859543,0,0.062000000000000006,0.6852446751864807,,Olivia daily
16,4,11,2232,59,2025-08-01T13:16:27Z,4,preferred_new,2.008356293021423,0,0.11,0.8952093682417029,,Elijah media
17,4,11,2719,38,2025-08-01T13:17:18Z,5,preferred_new,1.010872149859543,0,0.19799999999999998,0.4208891196309251,,Mia daily
18,4,11,2888,1,2025-08-01T13:17:22Z,6,preferred_new,1.010872149859543,0,0.18799999999999997,0.517778008519814,,Evelyn live
19,4,11,4216,208,2025-08-01T13:17:49Z,7,explore,-1.2744607610348553,0,0.22999999999999995,-1.0457328280059892,,Mia live
20,4,11,3513,60,2025-08-01T13:17:54Z,8,preferred_new,-0.13179430558765615,0,0.21999999999999995,-0.25055518752086536,,Ethan daily
21,4,11,975,95,2025-08-01T13:18:05Z,9,known,0.4692986486268091,0,0.22599999999999992,0.20202189938520382,,Isabella official
22,5,13,2070,93,2025-08-01T15:23:58Z,1,preferred_new,0.436079956861086,0,0,-0.016548028040294094,,Elijah studio
23,5,13,3901,191,2025-08-01T15:24:35Z,2,known,-0.28023686205797993,0,0.056,-0.3047317381154648,,Amelia hub
24,5,13,3632,101,2025-08-01T15:24:38Z,3,known,-0.10552211597088555,0,0.046,-0.027611597603297827,,Emma daily
25,5,13,1243,84,2025-08-01T15:24:41Z,4,preferred_new,0.3520758776613029,0,0.036,0.03338265381318022,,Amelia Moore
26,5,13,1945,82,2025-08-01T15:25:16Z,5,explore,0.568626603250835,0,0.08800000000000001,0.3103184032241538,,Sophia Davis
27,5,13,3944,176,2025-08-01T15:25:54Z,6,preferred_new,-0.28702864475705253,0,0.146,-0.4033686190920842,,Isabella Miller
28,6,15,3901,191,2025-08-01T20:26:39Z,1,preferred_new,0.19239271782482184,0,0,0.047277488808356416,,Amelia hub
29,6,15,2313,94,2025-08-01T20:26:43Z,2,preferred_new,0.9581226447136404,0,0,0.5672241635083107,,Sophia Miller
30,6,15,717,114,2025-08-01T20:26:50Z,3,preferred_new,0.46575189121466026,0,0.002,-0.04330571515491528,,Benjamin tv
31,6,15,427,196,2025-08-01T20:26:59Z,4,preferred_new,0.38942087768798395,0,0.006,0.23721245938607846,,Amelia Davis
32,7,16,2070,93,2025-08-01T09:20:53Z,1,preferred_new,0.3896615724385199,0,0,-0.046719977914962074,,Elijah studio
33,8,21,2719,38,2025-08-01T03:24:48Z,1,preferred_new,1.1300881569471137,0,0,0.6567795242378461,,Mia daily
34,9,22,578,213,2025-08-01T07:23:51Z,1,known,1.0464558859846544,0,0,0.5801963258900253,,Logan Garcia
35,9,22,3901,191,2025-08-01T07:23:53Z,2,preferred_new,1.1806720566459672,0,0,0.6896590590421009,,Amelia hub
36,10,23,3513,60,2025-08-01T09:19:40Z,1,preferred_new,0.11856126392895383,0,0,0.08817593266493111,,Ethan daily
37,10,23,1243,84,2025-08-01T09:19:58Z,2,preferred_new,-0.83073673581375,0,0.018000000000000002,-0.7210455449456041,,Amelia Moore
38,10,23,1023,101,2025-08-01T09:20:02Z,3,preferred_new,0.03539734453559895,0,0.008000000000000002,-0.06116950382963847,,Emma daily
39,10,23,26,151,2025-08-01T09:20:10Z,4,known,-1.2398204231131589,0,0.010000000000000004,-0.78054994169022,,Mason Martin
40,11,26,3661,206,2025-08-01T01:51:05Z,1,preferred_new,0.588398525115583,0,0,0.4380145968806845,,Amelia Smith
41,11,26,2888,1,2025-08-01T01:51:10Z,2,preferred_new,1.1175517352498923,0,0,0.7375197390235411,,Evelyn live
42,11,26,3661,206,2025-08-01T01:51:13Z,3,preferred_new,0.588398525115583,0.01176797050231166,0,0.44331018360672475,,Amelia Smith
43,11,26,125,114,2025-08-01T01:51:18Z,4,preferred_new,0.9411425562340385,0,0,0.6228537726632362,,Benjamin tv
44,11,26,1243,84,2025-08-01T01:51:27Z,5,preferred_new,1.0039991296606339,0,0.006,0.4811327676127453,,Amelia Moore
45,11,26,125,114,2025-08-01T01:51:29Z,6,known,0.9411425562340385,0.03113054343237308,0,0.6368625172078041,,Benjamin tv
46,11,26,3944,176,2025-08-01T01:51:38Z,7,preferred_new,0.41941177199470175,0,0.004,0.16941765179655613,,Isabella Miller
47,11,26,4296,181,2025-08-01T01:51:42Z,8,preferred_new,0.7647333772181847,0,0,0.5081878063029311,,Harper Garcia
48,11,26,717,114,2025-08-01T01:51:56Z,9,preferred_new,0.24667664246970822,0.06010001445763716,0.011999999999999999,-0.1666596203331973,,Benjamin tv
49,11,26,3091,181,2025-08-01T01:52:01Z,10,preferred_new,1.2432648821030832,0.02823584401495193,0.0019999999999999983,0.8970060809515101,,Harper Garcia
50,11,26,2665,197,2025-08-01T01:52:34Z,11,known,-0.3644344481038533,0,0.049999999999999996,-0.2657712801563935,,The Elijah Wilson
